date_game,time_game,visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,is_playoff_game_flag,season
1979-10-09,,St. Louis Blues,5.0,Vancouver Canucks,2.0,,,,,0,1980
1979-10-10,,Edmonton Oilers,2.0,Chicago Black Hawks,4.0,,,,,0,1980
1979-10-10,,Detroit Red Wings,4.0,Los Angeles Kings,4.0,,,,,0,1980
1979-10-10,,Winnipeg Jets,2.0,Pittsburgh Penguins,4.0,,,,,0,1980
1979-10-10,,Atlanta Flames,5.0,Quebec Nordiques,3.0,,,,,0,1980
1979-10-10,,New York Rangers,6.0,Toronto Maple Leafs,3.0,,,,,0,1980
1979-10-11,,Winnipeg Jets,0.0,Boston Bruins,4.0,,,,,0,1980
1979-10-11,,Washington Capitals,3.0,Buffalo Sabres,6.0,,,,,0,1980
1979-10-11,,St. Louis Blues,3.0,Colorado Rockies,3.0,,,,,0,1980
1979-10-11,,Hartford Whalers,1.0,Minnesota North Stars,4.0,,,,,0,1980
1979-10-11,,Atlanta Flames,1.0,Montreal Canadiens,3.0,,,,,0,1980
1979-10-11,,New York Islanders,2.0,Philadelphia Flyers,5.0,,,,,0,1980
1979-10-12,,Detroit Red Wings,1.0,Vancouver Canucks,3.0,,,,,0,1980
1979-10-13,,Philadelphia Flyers,2.0,Atlanta Flames,9.0,,,,,0,1980
1979-10-13,,Detroit Red Wings,3.0,Edmonton Oilers,3.0,,,,,0,1980
1979-10-13,,St. Louis Blues,3.0,Los Angeles Kings,5.0,,,,,0,1980
1979-10-13,,Chicago Black Hawks,1.0,Minnesota North Stars,5.0,,,,,0,1980
1979-10-13,,Quebec Nordiques,1.0,Montreal Canadiens,3.0,,,,,0,1980
1979-10-13,,Buffalo Sabres,5.0,New York Islanders,2.0,,,,,0,1980
1979-10-13,,Hartford Whalers,3.0,Pittsburgh Penguins,3.0,,,,,0,1980
1979-10-13,,Colorado Rockies,1.0,Toronto Maple Leafs,2.0,,,,,0,1980
1979-10-13,,Boston Bruins,5.0,Washington Capitals,2.0,,,,,0,1980
1979-10-14,,Pittsburgh Penguins,4.0,Boston Bruins,1.0,,,,,0,1980
1979-10-14,,Minnesota North Stars,5.0,Buffalo Sabres,4.0,,,,,0,1980
1979-10-14,,Hartford Whalers,3.0,Chicago Black Hawks,3.0,,,,,0,1980
1979-10-14,,Vancouver Canucks,4.0,Edmonton Oilers,4.0,,,,,0,1980
1979-10-14,,Washington Capitals,5.0,New York Rangers,3.0,,,,,0,1980
1979-10-14,,Toronto Maple Leafs,3.0,Philadelphia Flyers,4.0,,,,,0,1980
1979-10-14,,Colorado Rockies,2.0,Winnipeg Jets,4.0,,,,,0,1980
1979-10-16,,Atlanta Flames,1.0,New York Islanders,5.0,,,,,0,1980
1979-10-16,,Los Angeles Kings,6.0,Washington Capitals,8.0,,,,,0,1980
1979-10-17,,Hartford Whalers,1.0,Buffalo Sabres,3.0,,,,,0,1980
1979-10-17,,Montreal Canadiens,2.0,Chicago Black Hawks,3.0,,,,,0,1980
1979-10-17,,Los Angeles Kings,5.0,Pittsburgh Penguins,4.0,,,,,0,1980
1979-10-17,,Vancouver Canucks,5.0,St. Louis Blues,1.0,,,,,0,1980
1979-10-17,,Minnesota North Stars,2.0,Toronto Maple Leafs,6.0,,,,,0,1980
1979-10-17,,Detroit Red Wings,5.0,Winnipeg Jets,1.0,,,,,0,1980
1979-10-18,,New York Islanders,2.0,Boston Bruins,3.0,,,,,0,1980
1979-10-18,,Quebec Nordiques,5.0,Colorado Rockies,2.0,,,,,0,1980
1979-10-18,,Vancouver Canucks,3.0,New York Rangers,6.0,,,,,0,1980
1979-10-18,,Atlanta Flames,2.0,Philadelphia Flyers,6.0,,,,,0,1980
1979-10-19,,Quebec Nordiques,3.0,Edmonton Oilers,6.0,,,,,0,1980
1979-10-19,,Los Angeles Kings,3.0,Hartford Whalers,6.0,,,,,0,1980
1979-10-19,,Minnesota North Stars,2.0,Winnipeg Jets,3.0,,,,,0,1980
1979-10-19,,Toronto Maple Leafs,5.0,Washington Capitals,3.0,,,,,0,1980
1979-10-20,,Chicago Black Hawks,2.0,Atlanta Flames,2.0,,,,,0,1980
1979-10-20,,Los Angeles Kings,4.0,Boston Bruins,5.0,,,,,0,1980
1979-10-20,,Winnipeg Jets,1.0,Colorado Rockies,4.0,,,,,0,1980
1979-10-20,,Philadelphia Flyers,7.0,Detroit Red Wings,3.0,,,,"at (Detroit, MI)",0,1980
1979-10-20,,New York Rangers,4.0,Montreal Canadiens,5.0,,,,,0,1980
1979-10-20,,Hartford Whalers,1.0,New York Islanders,6.0,,,,,0,1980
1979-10-20,,Washington Capitals,1.0,Pittsburgh Penguins,5.0,,,,,0,1980
1979-10-20,,Buffalo Sabres,2.0,St. Louis Blues,3.0,,,,,0,1980
1979-10-20,,Vancouver Canucks,0.0,Toronto Maple Leafs,2.0,,,,,0,1980
1979-10-21,,Vancouver Canucks,3.0,Buffalo Sabres,3.0,,,,,0,1980
1979-10-21,,Quebec Nordiques,3.0,Chicago Black Hawks,0.0,,,,,0,1980
1979-10-21,,Minnesota North Stars,5.0,Edmonton Oilers,5.0,,,,,0,1980
1979-10-21,,Pittsburgh Penguins,3.0,New York Rangers,6.0,,,,,0,1980
1979-10-21,,Montreal Canadiens,6.0,Philadelphia Flyers,6.0,,,,,0,1980
1979-10-23,,Montreal Canadiens,5.0,Atlanta Flames,3.0,,,,,0,1980
1979-10-23,,Los Angeles Kings,7.0,Colorado Rockies,4.0,,,,,0,1980
1979-10-23,,Edmonton Oilers,3.0,New York Islanders,3.0,,,,,0,1980
1979-10-23,,Boston Bruins,5.0,St. Louis Blues,5.0,,,,,0,1980
1979-10-24,,Pittsburgh Penguins,3.0,Buffalo Sabres,7.0,,,,,0,1980
