date_game,time_game,visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,is_playoff_game_flag,season
1979-10-24,,Winnipeg Jets,0.0,Chicago Black Hawks,4.0,,,,,0,1980
1979-10-24,,Washington Capitals,3.0,Los Angeles Kings,5.0,,,,,0,1980
1979-10-24,,St. Louis Blues,2.0,Minnesota North Stars,5.0,,,,,0,1980
1979-10-24,,Edmonton Oilers,2.0,New York Rangers,10.0,,,,,0,1980
1979-10-24,,Hartford Whalers,2.0,Quebec Nordiques,2.0,,,,,0,1980
1979-10-24,,Toronto Maple Leafs,1.0,Vancouver Canucks,5.0,,,,,0,1980
1979-10-25,,Buffalo Sabres,0.0,Detroit Red Wings,4.0,,,,"at (Detroit, MI)",0,1980
1979-10-25,,Pittsburgh Penguins,5.0,Montreal Canadiens,8.0,,,,,0,1980
1979-10-25,,New York Rangers,2.0,Philadelphia Flyers,5.0,,,,,0,1980
1979-10-26,,Edmonton Oilers,3.0,Atlanta Flames,7.0,,,,,0,1980
1979-10-26,,Toronto Maple Leafs,2.0,Colorado Rockies,2.0,,,,,0,1980
1979-10-26,,New York Islanders,2.0,Hartford Whalers,1.0,,,,,0,1980
1979-10-26,,Boston Bruins,2.0,Winnipeg Jets,3.0,,,,,0,1980
1979-10-27,,Toronto Maple Leafs,5.0,Los Angeles Kings,7.0,,,,,0,1980
1979-10-27,,New York Rangers,2.0,Minnesota North Stars,7.0,,,,,0,1980
1979-10-27,,Detroit Red Wings,2.0,Montreal Canadiens,3.0,,,,,0,1980
1979-10-27,,Chicago Black Hawks,4.0,New York Islanders,6.0,,,,,0,1980
1979-10-27,,Buffalo Sabres,3.0,Quebec Nordiques,0.0,,,,,0,1980
1979-10-27,,Atlanta Flames,3.0,St. Louis Blues,0.0,,,,,0,1980
1979-10-27,,Washington Capitals,3.0,Vancouver Canucks,5.0,,,,,0,1980
1979-10-28,,Colorado Rockies,2.0,Buffalo Sabres,4.0,,,,,0,1980
1979-10-28,,Boston Bruins,4.0,Chicago Black Hawks,1.0,,,,,0,1980
1979-10-28,,Washington Capitals,6.0,Edmonton Oilers,4.0,,,,,0,1980
1979-10-28,,Hartford Whalers,2.0,New York Rangers,2.0,,,,,0,1980
1979-10-28,,Detroit Red Wings,4.0,Philadelphia Flyers,5.0,,,,,0,1980
1979-10-28,,Montreal Canadiens,4.0,Quebec Nordiques,5.0,,,,,0,1980
1979-10-28,,St. Louis Blues,2.0,Winnipeg Jets,2.0,,,,,0,1980
1979-10-30,,Colorado Rockies,1.0,Atlanta Flames,3.0,,,,,0,1980
1979-10-30,,Boston Bruins,4.0,Los Angeles Kings,4.0,,,,,0,1980
1979-10-30,,Edmonton Oilers,1.0,St. Louis Blues,2.0,,,,,0,1980
1979-10-30,,Montreal Canadiens,2.0,Washington Capitals,2.0,,,,,0,1980
1979-10-31,,Buffalo Sabres,0.0,Chicago Black Hawks,0.0,,,,,0,1980
1979-10-31,,Minnesota North Stars,5.0,Detroit Red Wings,3.0,,,,"at (Detroit, MI)",0,1980
1979-10-31,,Colorado Rockies,2.0,Pittsburgh Penguins,4.0,,,,,0,1980
1979-10-31,,Winnipeg Jets,5.0,Quebec Nordiques,2.0,,,,,0,1980
1979-10-31,,Hartford Whalers,4.0,Toronto Maple Leafs,2.0,,,,,0,1980
1979-10-31,,New York Islanders,2.0,Vancouver Canucks,2.0,,,,,0,1980
1979-11-01,,New York Rangers,2.0,Los Angeles Kings,4.0,,,,,0,1980
1979-11-01,,Minnesota North Stars,1.0,Montreal Canadiens,5.0,,,,,0,1980
1979-11-01,,St. Louis Blues,1.0,Philadelphia Flyers,3.0,,,,,0,1980
1979-11-02,,Quebec Nordiques,4.0,Atlanta Flames,4.0,,,,,0,1980
1979-11-02,,New York Islanders,5.0,Edmonton Oilers,7.0,,,,,0,1980
1979-11-02,,Toronto Maple Leafs,3.0,Hartford Whalers,5.0,,,,,0,1980
1979-11-02,,Boston Bruins,3.0,Vancouver Canucks,3.0,,,,,0,1980
1979-11-02,,Washington Capitals,1.0,Winnipeg Jets,1.0,,,,,0,1980
1979-11-03,,New York Rangers,2.0,Colorado Rockies,7.0,,,,,0,1980
1979-11-03,,Chicago Black Hawks,0.0,Detroit Red Wings,2.0,,,,"at (Detroit, MI)",0,1980
1979-11-03,,Washington Capitals,1.0,Minnesota North Stars,7.0,,,,,0,1980
1979-11-03,,Philadelphia Flyers,5.0,Montreal Canadiens,3.0,,,,,0,1980
1979-11-03,,Atlanta Flames,3.0,Pittsburgh Penguins,3.0,,,,,0,1980
1979-11-03,,Los Angeles Kings,1.0,St. Louis Blues,4.0,,,,,0,1980
1979-11-03,,Buffalo Sabres,4.0,Toronto Maple Leafs,3.0,,,,,0,1980
1979-11-04,,Los Angeles Kings,5.0,Chicago Black Hawks,3.0,,,,,0,1980
1979-11-04,,Boston Bruins,2.0,Edmonton Oilers,1.0,,,,,0,1980
1979-11-04,,Buffalo Sabres,1.0,Philadelphia Flyers,3.0,,,,,0,1980
1979-11-04,,Detroit Red Wings,1.0,Quebec Nordiques,5.0,,,,,0,1980
1979-11-04,,New York Rangers,4.0,Vancouver Canucks,2.0,,,,,0,1980
1979-11-04,,New York Islanders,4.0,Winnipeg Jets,4.0,,,,,0,1980
1979-11-05,,Washington Capitals,0.0,Montreal Canadiens,2.0,,,,,0,1980
1979-11-06,,Winnipeg Jets,0.0,Atlanta Flames,8.0,,,,,0,1980
1979-11-06,,Hartford Whalers,7.0,Colorado Rockies,2.0,,,,,0,1980
1979-11-06,,Los Angeles Kings,1.0,New York Islanders,4.0,,,,,0,1980
1979-11-06,,Minnesota North Stars,7.0,Vancouver Canucks,7.0,,,,,0,1980
1979-11-07,,Edmonton Oilers,3.0,Detroit Red Wings,5.0,,,,"at (Detroit, MI)",0,1980
1979-11-07,,Los Angeles Kings,4.0,New York Rangers,8.0,,,,,0,1980
1979-11-07,,Montreal Canadiens,3.0,Pittsburgh Penguins,3.0,,,,,0,1980
1979-11-07,,Philadelphia Flyers,4.0,Quebec Nordiques,3.0,,,,,0,1980
1979-11-07,,Toronto Maple Leafs,7.0,St. Louis Blues,4.0,,,,,0,1980
1979-11-07,,Winnipeg Jets,3.0,Washington Capitals,6.0,,,,,0,1980
1979-11-08,,Edmonton Oilers,2.0,Boston Bruins,4.0,,,,,0,1980
1979-11-08,,Chicago Black Hawks,3.0,Buffalo Sabres,3.0,,,,,0,1980
1979-11-09,,New York Islanders,2.0,Atlanta Flames,5.0,,,,,0,1980
1979-11-09,,Minnesota North Stars,6.0,Colorado Rockies,5.0,,,,,0,1980
1979-11-09,,Chicago Black Hawks,4.0,Hartford Whalers,2.0,,,,,0,1980
1979-11-10,,Vancouver Canucks,2.0,Detroit Red Wings,1.0,,,,"at (Detroit, MI)",0,1980
1979-11-10,,Minnesota North Stars,6.0,Los Angeles Kings,6.0,,,,,0,1980
1979-11-10,,St. Louis Blues,5.0,Montreal Canadiens,3.0,,,,,0,1980
1979-11-10,,Philadelphia Flyers,5.0,New York Islanders,2.0,,,,,0,1980
1979-11-10,,Quebec Nordiques,4.0,New York Rangers,5.0,,,,,0,1980
1979-11-10,,Boston Bruins,6.0,Pittsburgh Penguins,1.0,,,,,0,1980
1979-11-10,,Toronto Maple Leafs,8.0,Winnipeg Jets,4.0,,,,,0,1980
1979-11-10,,Buffalo Sabres,5.0,Washington Capitals,3.0,,,,,0,1980
1979-11-11,,Atlanta Flames,3.0,Boston Bruins,6.0,,,,,0,1980
1979-11-11,,Colorado Rockies,5.0,Buffalo Sabres,3.0,,,,,0,1980
1979-11-11,,Hartford Whalers,5.0,Chicago Black Hawks,5.0,,,,,0,1980
1979-11-11,,Toronto Maple Leafs,6.0,Edmonton Oilers,3.0,,,,,0,1980
1979-11-11,,Pittsburgh Penguins,4.0,New York Rangers,1.0,,,,,0,1980
1979-11-11,,Vancouver Canucks,4.0,Philadelphia Flyers,5.0,,,,,0,1980
1979-11-11,,St. Louis Blues,1.0,Quebec Nordiques,4.0,,,,,0,1980
1979-11-13,,Vancouver Canucks,5.0,Atlanta Flames,3.0,,,,,0,1980
1979-11-13,,Colorado Rockies,1.0,Los Angeles Kings,4.0,,,,,0,1980
1979-11-13,,New York Rangers,5.0,New York Islanders,10.0,,,,,0,1980
1979-11-13,,Montreal Canadiens,5.0,St. Louis Blues,2.0,,,,,0,1980
1979-11-13,,Edmonton Oilers,5.0,Washington Capitals,3.0,,,,,0,1980
1979-11-14,,Vancouver Canucks,5.0,Chicago Black Hawks,2.0,,,,,0,1980
1979-11-14,,Quebec Nordiques,2.0,Minnesota North Stars,7.0,,,,,0,1980
1979-11-14,,Detroit Red Wings,2.0,New York Rangers,3.0,,,,,0,1980
1979-11-14,,St. Louis Blues,2.0,Toronto Maple Leafs,7.0,,,,,0,1980
1979-11-14,,Hartford Whalers,2.0,Winnipeg Jets,3.0,,,,,0,1980
1979-11-15,,Washington Capitals,2.0,Boston Bruins,3.0,,,,,0,1980
1979-11-15,,Atlanta Flames,1.0,Buffalo Sabres,5.0,,,,,0,1980
1979-11-15,,Montreal Canadiens,4.0,Colorado Rockies,1.0,,,,,0,1980
1979-11-15,,Pittsburgh Penguins,3.0,Los Angeles Kings,3.0,,,,,0,1980
1979-11-15,,Edmonton Oilers,3.0,Philadelphia Flyers,5.0,,,,,0,1980
1979-11-16,,New York Rangers,2.0,Atlanta Flames,4.0,,,,,0,1980
1979-11-16,,Pittsburgh Penguins,2.0,Vancouver Canucks,5.0,,,,,0,1980
1979-11-16,,Quebec Nordiques,3.0,Winnipeg Jets,2.0,,,,,0,1980
1979-11-16,,Detroit Red Wings,4.0,Washington Capitals,2.0,,,,,0,1980
1979-11-17,,Chicago Black Hawks,4.0,Colorado Rockies,1.0,,,,,0,1980
1979-11-17,,Edmonton Oilers,0.0,Hartford Whalers,4.0,,,,,0,1980
1979-11-17,,Montreal Canadiens,3.0,Los Angeles Kings,1.0,,,,,0,1980
1979-11-17,,Buffalo Sabres,4.0,Minnesota North Stars,2.0,,,,,0,1980
1979-11-17,,Detroit Red Wings,5.0,New York Islanders,4.0,,,,,0,1980
1979-11-17,,Philadelphia Flyers,3.0,St. Louis Blues,3.0,,,,,0,1980
1979-11-17,,Boston Bruins,2.0,Toronto Maple Leafs,0.0,,,,,0,1980
1979-11-18,,Hartford Whalers,4.0,Boston Bruins,5.0,,,,,0,1980
1979-11-18,,Edmonton Oilers,7.0,Buffalo Sabres,9.0,,,,,0,1980
1979-11-18,,Minnesota North Stars,3.0,Chicago Black Hawks,3.0,,,,,0,1980
1979-11-18,,St. Louis Blues,3.0,New York Rangers,5.0,,,,,0,1980
1979-11-18,,Toronto Maple Leafs,2.0,Quebec Nordiques,4.0,,,,,0,1980
1979-11-18,,Montreal Canadiens,2.0,Vancouver Canucks,5.0,,,,,0,1980
1979-11-18,,Pittsburgh Penguins,3.0,Winnipeg Jets,2.0,,,,,0,1980
1979-11-18,,Atlanta Flames,4.0,Washington Capitals,2.0,,,,,0,1980
1979-11-20,,Washington Capitals,3.0,Colorado Rockies,3.0,,,,,0,1980
1979-11-20,,Boston Bruins,5.0,Quebec Nordiques,3.0,,,,,0,1980
1979-11-20,,New York Islanders,3.0,St. Louis Blues,6.0,,,,,0,1980
1979-11-20,,Los Angeles Kings,5.0,Vancouver Canucks,1.0,,,,,0,1980
1979-11-21,,Detroit Red Wings,1.0,Atlanta Flames,4.0,,,,,0,1980
1979-11-21,,Washington Capitals,0.0,Chicago Black Hawks,4.0,,,,,0,1980
1979-11-21,,Buffalo Sabres,3.0,Hartford Whalers,5.0,,,,,0,1980
1979-11-21,,Philadelphia Flyers,6.0,Los Angeles Kings,4.0,,,,,0,1980
1979-11-21,,New York Islanders,1.0,Minnesota North Stars,3.0,,,,,0,1980
1979-11-21,,Winnipeg Jets,6.0,New York Rangers,4.0,,,,,0,1980
1979-11-21,,St. Louis Blues,2.0,Pittsburgh Penguins,5.0,,,,,0,1980
1979-11-21,,Edmonton Oilers,4.0,Toronto Maple Leafs,4.0,,,,,0,1980
1979-11-22,,Quebec Nordiques,4.0,Boston Bruins,7.0,,,,,0,1980
1979-11-22,,Winnipeg Jets,0.0,Montreal Canadiens,7.0,,,,,0,1980
1979-11-23,,Pittsburgh Penguins,1.0,Atlanta Flames,4.0,,,,,0,1980
1979-11-23,,Detroit Red Wings,2.0,Colorado Rockies,5.0,,,,,0,1980
1979-11-23,,Philadelphia Flyers,5.0,Vancouver Canucks,2.0,,,,,0,1980
1979-11-24,,Philadelphia Flyers,2.0,Edmonton Oilers,2.0,,,,,0,1980
1979-11-24,,Quebec Nordiques,4.0,Hartford Whalers,4.0,,,,,0,1980
1979-11-24,,New York Islanders,4.0,Los Angeles Kings,4.0,,,,,0,1980
1979-11-24,,Detroit Red Wings,3.0,Minnesota North Stars,3.0,,,,,0,1980
1979-11-24,,Boston Bruins,1.0,Montreal Canadiens,3.0,,,,,0,1980
1979-11-24,,New York Rangers,3.0,Pittsburgh Penguins,5.0,,,,,0,1980
1979-11-24,,Colorado Rockies,3.0,St. Louis Blues,4.0,,,,,0,1980
1979-11-24,,Chicago Black Hawks,2.0,Toronto Maple Leafs,1.0,,,,,0,1980
1979-11-24,,Vancouver Canucks,3.0,Winnipeg Jets,5.0,,,,,0,1980
1979-11-24,,Buffalo Sabres,6.0,Washington Capitals,1.0,,,,,0,1980
1979-11-25,,Montreal Canadiens,2.0,Boston Bruins,4.0,,,,,0,1980
1979-11-25,,Minnesota North Stars,2.0,Buffalo Sabres,6.0,,,,,0,1980
1979-11-25,,St. Louis Blues,3.0,Chicago Black Hawks,6.0,,,,,0,1980
1979-11-25,,Atlanta Flames,2.0,Hartford Whalers,4.0,,,,,0,1980
1979-11-25,,Toronto Maple Leafs,4.0,New York Rangers,3.0,,,,,0,1980
1979-11-25,,Washington Capitals,2.0,Quebec Nordiques,2.0,,,,,0,1980
1979-11-27,,Toronto Maple Leafs,5.0,Atlanta Flames,3.0,,,,,0,1980
1979-11-27,,Buffalo Sabres,5.0,Boston Bruins,2.0,,,,,0,1980
1979-11-27,,Montreal Canadiens,5.0,Detroit Red Wings,5.0,,,,"at (Detroit, MI)",0,1980
1979-11-27,,Winnipeg Jets,3.0,Los Angeles Kings,5.0,,,,,0,1980
1979-11-27,,Hartford Whalers,2.0,Philadelphia Flyers,6.0,,,,,0,1980
1979-11-27,,Quebec Nordiques,2.0,St. Louis Blues,4.0,,,,,0,1980
1979-11-28,,New York Islanders,4.0,Colorado Rockies,7.0,,,,,0,1980
1979-11-28,,Chicago Black Hawks,2.0,Edmonton Oilers,4.0,,,,,0,1980
1979-11-28,,Minnesota North Stars,4.0,New York Rangers,4.0,,,,,0,1980
1979-11-28,,Quebec Nordiques,2.0,Pittsburgh Penguins,7.0,,,,,0,1980
1979-11-28,,Winnipeg Jets,2.0,Vancouver Canucks,4.0,,,,,0,1980
1979-11-28,,Toronto Maple Leafs,4.0,Washington Capitals,2.0,,,,,0,1980
1979-11-29,,New York Rangers,1.0,Buffalo Sabres,2.0,,,,,0,1980
1979-11-29,,St. Louis Blues,2.0,Montreal Canadiens,3.0,,,,,0,1980
1979-11-29,,Minnesota North Stars,4.0,Philadelphia Flyers,6.0,,,,,0,1980
1979-11-30,,New York Islanders,3.0,Edmonton Oilers,5.0,,,,,0,1980
1979-11-30,,Pittsburgh Penguins,5.0,Hartford Whalers,7.0,,,,,0,1980
1979-11-30,,Chicago Black Hawks,1.0,Vancouver Canucks,1.0,,,,,0,1980
1979-12-01,,Boston Bruins,3.0,Detroit Red Wings,6.0,,,,"at (Detroit, MI)",0,1980
1979-12-01,,Chicago Black Hawks,0.0,Los Angeles Kings,7.0,,,,,0,1980
1979-12-01,,Winnipeg Jets,4.0,Minnesota North Stars,4.0,,,,,0,1980
1979-12-01,,Hartford Whalers,4.0,Montreal Canadiens,4.0,,,,,0,1980
1979-12-01,,Colorado Rockies,4.0,Pittsburgh Penguins,5.0,,,,,0,1980
1979-12-01,,New York Rangers,2.0,St. Louis Blues,0.0,,,,,0,1980
1979-12-01,,Philadelphia Flyers,4.0,Toronto Maple Leafs,4.0,,,,,0,1980
1979-12-01,,Quebec Nordiques,2.0,Washington Capitals,7.0,,,,,0,1980
1979-12-02,,Colorado Rockies,5.0,Boston Bruins,3.0,,,,,0,1980
1979-12-02,,Washington Capitals,0.0,Buffalo Sabres,2.0,,,,,0,1980
1979-12-02,,Detroit Red Wings,4.0,Philadelphia Flyers,4.0,,,,,0,1980
1979-12-02,,Vancouver Canucks,1.0,Quebec Nordiques,3.0,,,,,0,1980
1979-12-02,,New York Islanders,4.0,Winnipeg Jets,0.0,,,,,0,1980
1979-12-03,,Montreal Canadiens,3.0,New York Rangers,3.0,,,,,0,1980
1979-12-04,,Los Angeles Kings,6.0,Atlanta Flames,2.0,,,,,0,1980
1979-12-04,,Vancouver Canucks,5.0,New York Islanders,1.0,,,,,0,1980
1979-12-04,,Boston Bruins,2.0,Philadelphia Flyers,2.0,,,,,0,1980
1979-12-04,,Colorado Rockies,3.0,Quebec Nordiques,1.0,,,,,0,1980
1979-12-04,,Winnipeg Jets,4.0,St. Louis Blues,2.0,,,,,0,1980
1979-12-04,,Hartford Whalers,3.0,Washington Capitals,3.0,,,,,0,1980
1979-12-05,,Atlanta Flames,1.0,Buffalo Sabres,6.0,,,,,0,1980
1979-12-05,,Winnipeg Jets,4.0,Detroit Red Wings,6.0,,,,"at (Detroit, MI)",0,1980
1979-12-05,,Edmonton Oilers,1.0,Minnesota North Stars,6.0,,,,,0,1980
1979-12-05,,Chicago Black Hawks,3.0,New York Rangers,3.0,,,,,0,1980
1979-12-05,,Vancouver Canucks,3.0,Pittsburgh Penguins,3.0,,,,,0,1980
1979-12-05,,Montreal Canadiens,2.0,Toronto Maple Leafs,3.0,,,,,0,1980
1979-12-06,,Boston Bruins,3.0,New York Islanders,4.0,,,,,0,1980
1979-12-06,,Los Angeles Kings,4.0,Philadelphia Flyers,9.0,,,,,0,1980
1979-12-06,,St. Louis Blues,2.0,Quebec Nordiques,5.0,,,,,0,1980
1979-12-07,,Buffalo Sabres,5.0,Colorado Rockies,3.0,,,,,0,1980
1979-12-07,,New York Rangers,7.0,Hartford Whalers,4.0,,,,,0,1980
1979-12-07,,Atlanta Flames,1.0,Minnesota North Stars,4.0,,,,,0,1980
1979-12-07,,Los Angeles Kings,2.0,Montreal Canadiens,5.0,,,,,0,1980
1979-12-07,,New York Islanders,6.0,Toronto Maple Leafs,1.0,,,,,0,1980
1979-12-07,,Edmonton Oilers,3.0,Winnipeg Jets,8.0,,,,,0,1980
1979-12-07,,Pittsburgh Penguins,5.0,Washington Capitals,3.0,,,,,0,1980
1979-12-08,,Vancouver Canucks,1.0,Detroit Red Wings,5.0,,,,"at (Detroit, MI)",0,1980
1979-12-08,,Chicago Black Hawks,3.0,Pittsburgh Penguins,3.0,,,,,0,1980
1979-12-08,,Washington Capitals,1.0,St. Louis Blues,5.0,,,,,0,1980
1979-12-09,,Vancouver Canucks,3.0,Boston Bruins,5.0,,,,,0,1980
1979-12-09,,Hartford Whalers,0.0,Edmonton Oilers,3.0,,,,,0,1980
1979-12-09,,Colorado Rockies,7.0,Montreal Canadiens,5.0,,,,,0,1980
1979-12-09,,New York Islanders,4.0,New York Rangers,5.0,,,,,0,1980
1979-12-09,,Chicago Black Hawks,4.0,Philadelphia Flyers,4.0,,,,,0,1980
1979-12-09,,Los Angeles Kings,2.0,Quebec Nordiques,3.0,,,,,0,1980
1979-12-09,,Atlanta Flames,5.0,Winnipeg Jets,4.0,,,,,0,1980
1979-12-10,,Detroit Red Wings,0.0,Buffalo Sabres,4.0,,,,,0,1980
1979-12-11,,New York Rangers,2.0,Detroit Red Wings,1.0,,,,"at (Detroit, MI)",0,1980
1979-12-11,,Montreal Canadiens,1.0,New York Islanders,4.0,,,,,0,1980
1979-12-11,,Pittsburgh Penguins,3.0,St. Louis Blues,3.0,,,,,0,1980
1979-12-11,,Hartford Whalers,3.0,Vancouver Canucks,5.0,,,,,0,1980
1979-12-12,,New York Rangers,5.0,Chicago Black Hawks,2.0,,,,,0,1980
1979-12-12,,Atlanta Flames,5.0,Edmonton Oilers,5.0,,,,,0,1980
1979-12-12,,Hartford Whalers,4.0,Los Angeles Kings,7.0,,,,,0,1980
1979-12-12,,New York Islanders,3.0,Pittsburgh Penguins,3.0,,,,,0,1980
1979-12-12,,Winnipeg Jets,0.0,Quebec Nordiques,5.0,,,,,0,1980
1979-12-12,,Colorado Rockies,3.0,Toronto Maple Leafs,5.0,,,,,0,1980
1979-12-12,,Minnesota North Stars,5.0,Washington Capitals,4.0,,,,,0,1980
1979-12-13,,Detroit Red Wings,6.0,Boston Bruins,6.0,,,,,0,1980
1979-12-13,,Chicago Black Hawks,2.0,Buffalo Sabres,5.0,,,,,0,1980
1979-12-13,,Quebec Nordiques,4.0,Philadelphia Flyers,6.0,,,,,0,1980
1979-12-14,,Minnesota North Stars,2.0,Atlanta Flames,3.0,,,,,0,1980
1979-12-14,,Montreal Canadiens,3.0,Edmonton Oilers,5.0,,,,,0,1980
1979-12-14,,Colorado Rockies,3.0,Vancouver Canucks,5.0,,,,,0,1980
1979-12-15,,Chicago Black Hawks,2.0,Boston Bruins,1.0,,,,,0,1980
1979-12-15,,Hartford Whalers,5.0,Colorado Rockies,6.0,,,,,0,1980
1979-12-15,,Quebec Nordiques,4.0,Detroit Red Wings,4.0,,,,"at (Detroit, MI)",0,1980
1979-12-15,,Vancouver Canucks,3.0,Los Angeles Kings,4.0,,,,,0,1980
1979-12-15,,Pittsburgh Penguins,3.0,New York Islanders,3.0,,,,,0,1980
1979-12-15,,Buffalo Sabres,2.0,Philadelphia Flyers,3.0,,,,,0,1980
1979-12-15,,Minnesota North Stars,3.0,St. Louis Blues,1.0,,,,,0,1980
1979-12-15,,Atlanta Flames,1.0,Toronto Maple Leafs,8.0,,,,,0,1980
